called directly with directory .
Hash: 35d56b687e0e510544d77fb01f350406 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npmlog/node_modules/gauge/spin.js

Hash: 11996b2fb2418136f636df2e16da25c7 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/boom/CONTRIBUTING.md

Hash: 9c2ef0aeade3e3ef4a6a72748d47e433 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/oauth-sign/README.md

Hash: 2cbb15596cbf1e2f7f6019bc25377fc8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/sshpk/node_modules/jsbn/example.js

Hash: 98270da2b48483c66469e2955067a45e Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/test/fixtures/bom.json

Hash: 13f8b92244e7cdd8efc33ff7982448cf Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/from2/.travis.yml
